topic,audience,reason,severity
KI im Handwerk,Pflege,domain_mismatch,hard_block
KI im Handwerk,Pflegekräfte,domain_mismatch,hard_block
KI im Handwerk,Rentner,domain_mismatch,hard_block
KI im Handwerk,Ruheständler,domain_mismatch,hard_block
KI im Handwerk,Senioren,domain_mismatch,hard_block
KI im Handwerk,Angehörige,domain_mismatch,hard_block
Pflegegrad,Kleinunternehmer,domain_mismatch,hard_block
Pflegegrad,Selbstständige,domain_mismatch,hard_block
Pflegegrad,Freelancer,domain_mismatch,hard_block
Pflegegrad,Handwerker,domain_mismatch,hard_block
Pflegeantrag,Kleinunternehmer,domain_mismatch,hard_block
Pflegeantrag,Freelancer,domain_mismatch,hard_block
Pflegebedürftigkeit,Freelancer,domain_mismatch,hard_block
Pflegebedürftigkeit,Kleinunternehmer,domain_mismatch,hard_block
Alleinerziehend,Ruheständler,life_stage_mismatch,hard_block
Alleinerziehend,Rentner,life_stage_mismatch,hard_block
Alleinerziehend,Freelancer,life_stage_mismatch,hard_block
Eltern,Pflege,audience_as_topic,hard_block
Eltern,Ruheständler,life_stage_mismatch,hard_block
Eltern,Rentner,life_stage_mismatch,hard_block
Eltern,Freelancer,audience_as_topic,hard_block
Eltern,Kleinunternehmer,audience_as_topic,hard_block
Babyschlaf,Senioren,life_stage_mismatch,hard_block
Babyschlaf,Rentner,life_stage_mismatch,hard_block
Welpentraining,Senioren,domain_mismatch,hard_block
Rente beantragen,Studenten,life_stage_mismatch,hard_block
Rente beantragen,Freelancer,life_stage_mismatch,hard_block
Existenzgründung,Rentner,life_stage_mismatch,hard_block
Existenzgründung,Ruheständler,life_stage_mismatch,hard_block
Hundetraining,Kleinunternehmer,domain_mismatch,hard_block
Hundetraining,Freelancer,domain_mismatch,hard_block
Buchhaltung,Senioren,domain_mismatch,hard_block
Buchhaltung,Pflegekräfte,domain_mismatch,hard_block
Steuererklärung,Pflegekräfte,domain_mismatch,hard_block
Steuererklärung,Schüler,domain_mismatch,hard_block
Haushaltsbuch,Kinder,domain_mismatch,hard_block
Medikamentenplan,Studenten,domain_mismatch,hard_block
Patientenverfügung,Studenten,life_stage_mismatch,hard_block
Patientenverfügung,Kinder,life_stage_mismatch,hard_block
KI für Handwerker,Pflege,domain_mismatch,hard_block
KI für Handwerker,Senioren,domain_mismatch,hard_block
KI für Handwerker,Rentner,domain_mismatch,hard_block
KI für Pflegekräfte,Handwerker,domain_mismatch,hard_block
Pflegegrad,Studenten,life_stage_mismatch,hard_block
Pflegegrad,Schüler,life_stage_mismatch,hard_block
Pflegeantrag,Studenten,life_stage_mismatch,hard_block
Pflegeantrag,Schüler,life_stage_mismatch,hard_block
Pflegeorganisation,Studenten,domain_mismatch,hard_block
Demenz,Studenten,life_stage_mismatch,hard_block
Demenz,Kinder,life_stage_mismatch,hard_block
Sturzprävention,Studenten,life_stage_mismatch,hard_block
Sturzprävention,Kinder,life_stage_mismatch,hard_block
Seniorengymnastik,Studenten,life_stage_mismatch,hard_block
Seniorengymnastik,Kinder,life_stage_mismatch,hard_block
Rente beantragen,Studenten,life_stage_mismatch,hard_block
Rente beantragen,Azubis,life_stage_mismatch,hard_block
Altersvorsorge,Schüler,life_stage_mismatch,hard_block
Altersvorsorge,Kinder,life_stage_mismatch,hard_block
Patientenverfügung,Kinder,life_stage_mismatch,hard_block
Patientenverfügung,Studenten,life_stage_mismatch,hard_block
Vorsorgevollmacht,Kinder,life_stage_mismatch,hard_block
Testament,Schüler,life_stage_mismatch,hard_block
Testament,Studenten,life_stage_mismatch,hard_block
Babyschlaf,Senioren,life_stage_mismatch,hard_block
Babyschlaf,Rentner,life_stage_mismatch,hard_block
Babyschlaf,Studenten,life_stage_mismatch,hard_block
Stillen,Senioren,life_stage_mismatch,hard_block
Stillen,Männer,domain_mismatch,hard_block
Beikost,Senioren,life_stage_mismatch,hard_block
Beikost,Rentner,life_stage_mismatch,hard_block
Geburtsvorbereitung,Senioren,life_stage_mismatch,hard_block
Geburtsvorbereitung,Rentner,life_stage_mismatch,hard_block
Trotzphase,Senioren,life_stage_mismatch,hard_block
Trotzphase,Rentner,life_stage_mismatch,hard_block
Pubertät,Senioren,life_stage_mismatch,hard_block
Pubertät,Kleinkinder,life_stage_mismatch,hard_block
Kindergeburtstag,Senioren,life_stage_mismatch,hard_block
Kindergeburtstag,Singles,domain_mismatch,hard_block
Vorlesen,Senioren,audience_mismatch,hard_block
Hundetraining,Kleinunternehmer,domain_mismatch,hard_block
Hundetraining,Senioren,domain_mismatch,hard_block
Welpentraining,Senioren,domain_mismatch,hard_block
Welpentraining,Kleinunternehmer,domain_mismatch,hard_block
Katzenhaltung,Hundehalter,domain_mismatch,hard_block
Balkongarten,Landwirte,domain_mismatch,hard_block
Fotografie,Hundehalter,domain_mismatch,hard_block
Buchhaltung,Senioren,domain_mismatch,hard_block
Buchhaltung,Pflegekräfte,domain_mismatch,hard_block
Buchhaltung,Schüler,domain_mismatch,hard_block
Steuererklärung,Pflegekräfte,domain_mismatch,hard_block
Steuererklärung,Schüler,domain_mismatch,hard_block
Steuererklärung,Studenten,domain_mismatch,hard_block
Existenzgründung,Rentner,life_stage_mismatch,hard_block
Existenzgründung,Schüler,life_stage_mismatch,hard_block
Firmengründung,Rentner,life_stage_mismatch,hard_block
Kundengewinnung,Rentner,domain_mismatch,hard_block
Kundengewinnung,Schüler,domain_mismatch,hard_block
Akquise,Senioren,domain_mismatch,hard_block
Online-Shop,Senioren,domain_mismatch,hard_block
Homeoffice,Rentner,domain_mismatch,hard_block
Meal Prep,Kinder,domain_mismatch,hard_block
Schwangerschaftsyoga,Männer,domain_mismatch,hard_block
Medikamentenplan,Kinder,domain_mismatch,hard_block
Buchhaltung,Kinder,domain_mismatch,hard_block
Rente beantragen,Schüler,life_stage_mismatch,hard_block
Patientenverfügung,Schüler,life_stage_mismatch,hard_block
Testament,Kinder,life_stage_mismatch,hard_block
Gehaltsverhandlung,Rentner,life_stage_mismatch,hard_block
Vorstellungsgespräch,Rentner,life_stage_mismatch,hard_block
Welpen Tagebuch,Kleinunternehmer,domain_mismatch,hard_block
Pflegegrad Antrag,Handwerker,domain_mismatch,hard_block
KI für Handwerker,Pflegekräfte,domain_mismatch,hard_block
Hundetraining,Selbstständige,domain_mismatch,hard_block
Abitur,Rentner,life_stage_mismatch,hard_block
Bachelorarbeit,Rentner,life_stage_mismatch,hard_block
Masterarbeit,Rentner,life_stage_mismatch,hard_block
Steuererklärung,Kinder,domain_mismatch,hard_block
SEO Grundlagen,Senioren,domain_mismatch,hard_block
Krankenhaus Checkliste,Kinder,life_stage_mismatch,hard_block
Pflegeexamen,Rentner,life_stage_mismatch,hard_block
Reha Planer,Kinder,life_stage_mismatch,hard_block
